ID,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,Class_0 or 1
1,1,102,1,2,0.0475,2,0
2,1,114,2,2,0.0475,2,0
3,1,55,1,2,0.0475,2,0
4,1,55,1,1,0.024375,1,0
5,1,300,1,1,0.024375,1,0
6,3,230,1,4,0.14,3,0
7,2,72,2,2,0.0475,2,0
8,1,265,2,3,0.119375,2,0
9,2,622,2,5,0.159375,4,0
11,2,1250,3,6,0.2775,4,0
12,1,108,1,1,0.024375,1,0
13,1,35,1,1,0.024375,1,0
14,1,51,1,1,0.024375,1,0
15,3,589,7,13,0.919375,6,0
16,1,204,3,4,0.14,3,1
17,3,296,6,10,0.4375,6,0
18,7,1265,13,26,0.8275,18,0
19,4,357.9,2,9,0.224375,8,1
20,1,93,2,3,0.069375,3,0
21,6,2027,9,25,0.784375,16,0
22,4,110,2,5,0.209375,3,1
23,3,44,1,3,0.069375,3,0
24,12,3332,13,30,1.0875,18,0
25,9,3294,15,29,1.049375,18,1
26,5,205,4,7,0.194375,6,1
27,5,142,1,7,0.194375,6,0
28,3,35,1,3,0.119375,2,0
29,1,12,1,1,0.024375,1,0
30,1,52,1,1,0.024375,1,0
31,2,30,1,3,0.119375,2,0
32,2,230,1,6,0.1775,5,0
33,2,335.5,5,10,0.7375,5,0
34,2,70,1,2,0.0475,2,0
35,5,34.5,3,6,0.1775,5,0
36,3,404,2,7,0.194375,6,0
37,19,4399.8,19,85,3.509375,31,0
38,1,5,1,1,0.024375,1,1
39,2,157,1,2,0.0475,2,0
40,3,54,1,3,0.069375,3,0
42,4,4114.4,17,28,1.31,14,0
43,2,602.35,5,8,0.26,6,0
44,1,41.5,1,2,0.0475,2,1
45,7,1528,1,19,1.599375,9,0
46,5,4120.4,9,22,1.2975,11,0
47,13,4429.5,2,35,1.309375,18,0
48,4,689,1,13,1.169375,5,0
49,2,3661,2,22,4.9475,3,0
50,6,3621,3,27,1.619375,13,0
51,5,6771,4,25,2.284375,8,0
52,15,1778,4,46,4.9775,15,0
53,15,6582,4,81,10.374375,18,0
54,17,6794.59,3,43,2.619375,16,0
55,11,2597,2,21,1.699375,7,0
56,13,4062,3,31,1.674375,13,0
57,11,1748,3,29,1.599375,12,0
58,9,4648,2,27,2.419375,10,0
59,7,9512,3,23,1.744375,9,0
60,1,23948,3,3,0.119375,2,0
61,6,4504,1,10,0.4375,6,0
63,3,11462,2,6,0.2275,4,0
64,12,28858,4,39,3.324375,16,0
65,4,18241,3,10,0.3375,7,0
66,1,260,1,1,0.024375,1,0
67,8,8852,1,11,0.449375,7,0
68,2,607,2,3,0.119375,2,0
69,11,772,1,31,2.024375,12,0
70,7,1124,1,17,0.794375,9,0
71,16,5489,2,46,1.6275,22,0
72,21,5754,1,69,4.449375,21,0
73,4,1652,1,6,0.1775,5,0
74,8,2932,1,16,0.84,8,0
75,1,1373,5,30,6.5375,6,0
76,5,947,3,8,0.26,6,0
77,4,490,1,4,0.09,4,0
78,6,690,4,13,0.619375,7,0
79,6,913,1,11,0.299375,9,0
80,6,941,2,14,2.0275,3,0
81,5,824,1,18,2.9475,3,0
82,27,3468,4,112,29.91,18,0
83,28,7906.5,7,187,92.669375,22,0
84,12,1501,1,54,5.2775,22,0
85,1,9565,7,63,22.094375,5,0
86,4,2687,3,6,0.3275,3,0
87,1,58,1,1,0.024375,1,0
88,3,1034,3,3,0.069375,3,0
89,1,343,1,1,0.024375,1,0
90,1,183,1,2,0.0975,1,0
91,2,53,1,3,0.069375,3,0
92,1,543,2,1,0.024375,1,0
93,1,356,1,1,0.024375,1,0
94,3,1505,3,4,0.14,3,0
95,2,88,1,2,0.0475,2,0
96,3,220,2,8,0.21,7,0
97,1,190,1,1,0.024375,1,0
98,15,4005,2,29,2.149375,11,0
99,3,1170,4,2,0.0475,2,0
100,2,620,1,2,0.0975,1,0
101,19,7744,1,44,3.59,15,1
102,3,359,2,7,0.194375,6,1
103,3,541,3,3,0.119375,2,1
104,1,485,1,1,0.024375,1,1
105,6,2388,4,14,0.7275,7,1
106,4,3219,10,11,0.349375,8,0
107,6,7634.4,3,34,8.1275,8,0
108,2,922,1,5,0.409375,2,0
109,3,2087,2,3,0.069375,3,0
110,17,19875,8,79,5.374375,27,0
111,2,2363,1,3,0.119375,2,0
112,1,148,2,2,0.0975,1,0
113,1,9368,1,5,0.259375,3,1
114,14,5901,7,49,5.624375,18,0
115,10,3810,4,31,1.824375,13,1
116,6,3394,3,14,0.4775,10,0
117,2,972,4,2,0.0475,2,1
118,4,6361,4,5,0.109375,5,1
119,4,340,1,9,0.424375,5,1
120,3,46,1,3,0.069375,3,1
121,24,3433,1,73,5.544375,26,1
122,13,5478,2,148,23.11,33,1
123,13,10765,2,196,48.09,32,1
124,2,81,1,2,0.0475,2,1
125,5,447,2,9,0.374375,6,1
126,4,677,2,8,0.66,4,1
127,16,6003.5,8,116,9.74,31,0
128,24,8874,10,118,8.0975,33,0
129,20,1122,1,83,2.969375,33,0
130,18,3059,3,151,45.074375,27,1
131,20,3457,3,73,6.144375,25,1
132,10,1635,2,45,14.959375,9,1
133,5,812,1,9,0.224375,8,1
134,2,1205,1,4,0.39,1,1
135,1,1354,1,1,0.024375,1,1
136,1,1212,1,1,0.024375,1,0
137,1,2604,1,2,0.0975,1,0
138,3,143,1,5,0.209375,3,0
139,4,405,1,5,0.609375,1,0
140,3,665,1,15,4.784375,2,0
141,5,2449,4,15,2.684375,2,0
142,1,494,1,1,0.024375,1,0
143,9,1033,1,18,1.0975,9,0
144,8,1121,2,23,1.844375,10,0
145,2,35.5,1,3,0.069375,3,0
146,2,54,1,4,0.24,2,1
147,8,2280,2,37,1.669375,17,1
148,6,2532,6,23,0.744375,15,1
149,2,389,1,5,0.309375,2,1
150,1,826,4,12,0.81,4,1
151,7,624.3,3,23,1.544375,10,1
152,5,183.3,1,18,4.2975,4,1
153,4,722,1,22,2.7475,6,0
154,6,379,1,8,0.21,7,1
155,6,1340,2,10,0.2875,8,0
157,3,92.14,9,10,1.2375,4,1
158,2,304.7,1,7,0.294375,4,1
159,1,226.5,1,5,0.409375,2,1
160,4,484.8,2,7,0.144375,7,0
161,5,281.5,1,5,0.409375,2,0
162,4,1184.4,1,6,0.1775,5,0
163,4,834.3,5,7,0.594375,2,0
164,1,1625.8,6,5,0.209375,3,0
165,7,653,4,11,1.399375,3,0
166,2,26,3,3,0.119375,2,0
167,2,41,7,7,0.294375,5,0
168,2,43,8,9,0.524375,5,0
169,1,136,1,1,0.024375,1,0
170,2,63,1,4,0.14,3,0
171,3,235.2,2,3,0.119375,2,0
173,2,1512,3,4,0.24,2,0
175,2,2510,3,7,0.294375,5,0
176,1,1890.7,3,9,0.524375,5,0
177,2,154.8,1,5,0.409375,2,0
178,1,688.45,7,7,0.294375,5,0
179,1,570.4,2,6,0.3275,3,0
180,1,2169.3,2,1,0.024375,1,0
181,1,245,5,4,0.24,2,0
182,1,245,3,4,0.14,3,0
183,3,23,1,3,0.069375,3,0
184,3,41.8,2,4,0.14,3,0
185,5,37,1,7,0.144375,7,0
186,2,34,1,4,0.09,4,0
187,1,27.4,1,1,0.024375,1,0
188,2,19,1,3,0.119375,2,0
189,1,0.2,1,1,0.024375,1,0
192,27,1818.55,8,81,9.724375,26,0
193,1,2,1,1,0.024375,1,0
194,8,300.74,4,11,0.599375,6,0
195,1,19.94,1,1,0.024375,1,0
196,2,995.8,2,2,0.0475,2,0
199,3,146.8,5,5,0.109375,5,0
200,1,110,2,2,0.0975,1,1
201,1,196.3,1,3,0.219375,1,0
202,3,57,1,4,0.09,4,1
203,1,26.4,1,1,0.024375,1,0
204,5,47.5,1,7,0.494375,3,1
205,2,44.5,4,2,0.0475,2,0
207,1,28.2,1,1,0.024375,1,0
208,1,83.2,2,2,0.0475,2,0
210,2,158.6,3,3,0.069375,3,0
211,1,16.64,1,1,0.024375,1,1
212,3,131.46,3,4,0.09,4,0
213,1,5,1,1,0.024375,1,0
214,1,30,1,1,0.024375,1,0
215,1,25,1,1,0.024375,1,0
217,1,4.99,1,1,0.024375,1,0
218,1,89.98,2,3,0.119375,2,0
219,2,111.96,3,4,0.09,4,0
220,2,1985,5,2,0.0475,2,0
221,5,18113,8,32,6.16,6,0
222,2,1601,1,3,0.069375,3,0
224,1,8709,3,14,1.7775,4,0
225,1,25393,8,18,7.8975,1,0
226,1,3889,4,7,0.194375,6,0
227,2,12595,5,52,25.86,6,0
228,3,23667,4,8,0.41,4,0
229,3,21458,5,47,11.044375,9,0
230,4,19779,1,52,15.71,10,0
231,5,946,1,10,0.7375,5,0
232,2,1981,1,19,3.049375,5,0
233,5,249.5,1,26,1.6775,11,0
234,2,970,1,2,0.0475,2,0
235,5,155,1,5,0.309375,2,0
236,10,1012,1,22,0.6475,15,0
237,11,3884,3,37,2.169375,16,0
238,2,2385,1,3,0.069375,3,0
239,23,3293,4,81,7.024375,25,0
241,12,4060,2,37,4.419375,10,0
242,27,14567,8,128,24.71,24,0
243,25,13132,6,105,6.184375,28,0
244,16,7935,5,52,4.46,14,0
245,25,20196,5,110,26.4375,22,0
246,8,2442,5,13,0.569375,7,1
247,8,2793,1,13,0.819375,7,1
251,32,23019,7,116,8.34,32,1
252,17,19745,5,54,3.6275,18,1
253,9,5420,5,20,1.25,10,1
254,7,12384,5,12,0.71,6,1
255,11,1098,2,27,2.169375,11,1
256,5,237,2,13,1.569375,4,0
257,22,1167.5,3,82,7.6475,19,1
258,15,1572,1,36,3.24,11,1
259,22,6145,4,105,12.134375,28,0
260,10,3015,2,49,11.874375,11,1
261,27,8160,10,150,21.2375,26,1
262,11,4285,14,19,1.799375,9,0
263,2,1135,2,3,0.069375,3,1
264,3,2319,2,4,0.24,2,0
265,8,1471,4,30,1.7875,13,0
266,11,4164,2,54,7.8275,13,1
267,15,4566,3,42,2.6975,18,1
268,13,5557,2,37,3.119375,14,0
269,14,3450,1,30,1.0875,18,1
270,14,6860,3,42,1.8475,20,1
271,16,24133,9,119,22.424375,21,1
273,11,481.2,3,36,3.34,11,1
275,11,9201,3,19,0.949375,11,1
276,1,462,1,1,0.024375,1,1
277,8,1986,1,29,14.299375,3,1
278,14,5054,1,82,14.0975,16,1
279,1,648,2,3,0.119375,2,1
280,4,5763,5,19,1.249375,8,0
281,2,1030,2,3,0.119375,2,1
282,11,914.4,2,29,2.749375,13,1
283,4,1043,3,10,0.2375,9,1
284,1,2151,1,1,0.024375,1,1
285,2,3494,2,10,0.9875,3,1
286,5,3657,3,23,1.244375,12,1
287,5,4555,3,16,1.34,6,1
288,12,11884,6,34,1.8275,15,1
289,7,8974,3,15,0.534375,10,0
290,1,2121.5,2,2,0.0975,1,1
291,3,4002,4,8,0.41,4,1
292,3,6598,3,8,0.36,5,1
294,1,373,2,1,0.024375,1,0
295,3,4777,1,5,0.159375,4,1
296,5,2133,4,43,7.569375,8,1
297,5,656,1,8,0.26,6,0
298,6,642,1,7,0.244375,5,0
299,3,8130,7,11,2.449375,2,0
300,1,10,2,2,0.0475,2,0
301,1,12,1,3,0.219375,1,1
302,1,14,3,3,0.119375,2,1
303,1,43,5,6,0.6275,2,1
304,3,49,3,7,0.244375,5,1
305,2,35,3,7,0.444375,4,0
306,1,13,1,1,0.024375,1,0
307,1,55,2,5,0.409375,2,1
308,2,27,2,6,0.3275,3,1
309,2,49,9,9,0.274375,7,1
310,1,45,6,8,0.51,4,1
311,2,165,8,9,0.524375,5,1
312,1,39,1,1,0.024375,1,1
313,2,15,3,4,0.09,4,1
315,1,12,2,2,0.0475,2,1
316,3,26,4,5,0.259375,3,1
317,2,19821,4,4,0.09,4,0
318,1,13,1,1,0.024375,1,1
320,1,159.3,2,6,0.1775,5,1
321,2,307.4,3,5,0.159375,4,1
324,1,138.2,3,3,0.119375,2,0
331,4,647,13,9,0.224375,8,0
333,3,322,6,5,0.409375,2,0
334,2,906,8,15,1.234375,6,0
335,4,369,6,10,0.4375,6,0
336,6,486,6,8,0.16,8,0
337,1,21,1,1,0.024375,1,0
339,2,51.99,1,2,0.0975,1,0
340,1,68.99,1,3,0.219375,1,0
341,5,154.98,1,10,1.9875,2,0
342,1,1113,3,4,0.14,3,0
343,1,1075.6,4,6,0.3275,3,0
347,1,576,4,5,0.309375,2,0
348,4,944,1,38,1.7975,18,0
349,1,1608,2,2,0.0475,2,0
350,1,575,2,4,0.39,1,0
352,1,116,1,1,0.024375,1,0
361,1,633.8,3,5,0.159375,4,0
369,1,240,3,16,6.24,1,0
370,1,47,1,3,0.119375,2,0
371,2,10000,5,5,0.409375,2,0
372,4,499.7,3,6,0.3275,3,0
373,1,4.97,1,3,0.219375,1,0
374,1,34.27,1,1,0.024375,1,0
375,1,21,1,1,0.024375,1,0
377,5,84.9,1,5,0.159375,4,0
378,3,177.8,2,7,0.344375,4,0
379,9,813.7,4,39,7.224375,7,0
380,4,43,1,7,0.194375,6,0
381,1,99.8,2,1,0.024375,1,0
382,1,334,4,5,0.159375,4,0
383,1,874,3,2,0.0475,2,0
384,1,335,1,1,0.024375,1,0
385,4,107,3,9,0.974375,3,0
386,7,2025.5,2,11,0.999375,5,0
387,5,187,1,9,0.424375,5,0
388,5,268,2,9,0.424375,5,0
389,8,221,2,16,0.89,7,0
