id,En_count,O_Quant,R_Times,OTimes,OTimes_S,O_monthes,class
0,1,102,1,2,0.0475,2,0
1,1,114,2,2,0.0475,2,0
2,1,55,1,2,0.0475,2,0
3,1,55,1,1,0.024375,1,0
4,1,300,1,1,0.024375,1,0
5,3,230,1,4,0.14,3,0
6,2,72,2,2,0.0475,2,0
7,1,265,2,3,0.119375,2,0
8,2,622,2,5,0.159375,4,0
9,2,1250,3,6,0.2775,4,0
10,1,108,1,1,0.024375,1,0
11,1,35,1,1,0.024375,1,0
12,1,51,1,1,0.024375,1,0
13,3,589,7,13,0.919375,6,0
14,1,204,3,4,0.14,3,1
15,3,296,6,10,0.4375,6,0
16,7,1265,13,26,0.8275,18,0
17,4,357.9,2,9,0.224375,8,1
18,1,93,2,3,0.069375,3,0
19,6,2027,9,25,0.784375,16,0
20,4,110,2,5,0.209375,3,1
21,3,44,1,3,0.069375,3,0
22,12,3332,13,30,1.0875,18,0
23,9,3294,15,29,1.049375,18,1
24,5,205,4,7,0.194375,6,1
25,5,142,1,7,0.194375,6,0
26,3,35,1,3,0.119375,2,0
27,1,12,1,1,0.024375,1,0
28,1,52,1,1,0.024375,1,0
29,2,30,1,3,0.119375,2,0
30,2,230,1,6,0.1775,5,0
31,2,335.5,5,10,0.7375,5,0
32,2,70,1,2,0.0475,2,0
33,5,34.5,3,6,0.1775,5,0
34,3,404,2,7,0.194375,6,0
35,19,4399.8,19,85,3.509375,31,0
36,1,5,1,1,0.024375,1,0
37,2,157,1,2,0.0475,2,0
38,3,54,1,3,0.069375,3,0
39,4,4114.4,17,28,1.31,14,0
40,2,602.35,5,8,0.26,6,0
41,1,41.5,1,2,0.0475,2,1
42,7,1528,1,19,1.599375,9,0
43,5,4120.4,9,22,1.2975,11,0
44,13,4429.5,2,35,1.309375,18,0
45,4,689,1,13,1.169375,5,0
46,2,3661,2,22,4.9475,3,0
47,6,3621,3,27,1.619375,13,0
48,5,6771,4,25,2.284375,8,0
49,15,1778,4,46,4.9775,15,0
50,15,6582,4,81,10.374375,18,0
51,17,6794.59,3,43,2.619375,16,0
52,11,2597,2,21,1.699375,7,0
53,13,4062,3,31,1.674375,13,0
54,11,1748,3,29,1.599375,12,0
55,9,4648,2,27,2.419375,10,0
56,7,9512,3,23,1.744375,9,0
57,1,23948,3,3,0.119375,2,0
58,6,4504,1,10,0.4375,6,0
59,3,11462,2,6,0.2275,4,0
60,12,28858,4,39,3.324375,16,0
61,4,18241,3,10,0.3375,7,0
62,1,260,1,1,0.024375,1,0
63,8,8852,1,11,0.449375,7,0
