id,a1,a2,a3,a4,a5,a6,class
5,1,1,1,1,3,1,1
6,1,1,1,1,3,2,1
19,1,1,1,3,2,1,1
22,1,1,1,3,3,2,1
27,1,1,2,1,2,1,1
28,1,1,2,1,2,2,1
37,1,1,2,2,3,1,1
39,1,1,2,2,4,1,1
42,1,1,2,3,1,2,1
50,1,2,1,1,1,2,1
51,1,2,1,1,2,1,0
53,1,2,1,1,3,1,0
56,1,2,1,1,4,2,0
57,1,2,1,2,1,1,1
61,1,2,1,2,3,1,0
62,1,2,1,2,3,2,0
64,1,2,1,2,4,2,0
67,1,2,1,3,2,1,0
72,1,2,1,3,4,2,0
76,1,2,2,1,2,2,0
86,1,2,2,2,3,2,0
87,1,2,2,2,4,1,0
88,1,2,2,2,4,2,0
92,1,2,2,3,2,2,0
93,1,2,2,3,3,1,0
94,1,2,2,3,3,2,0
99,1,3,1,1,2,1,0
103,1,3,1,1,4,1,0
107,1,3,1,2,2,1,0
111,1,3,1,2,4,1,0
114,1,3,1,3,1,2,1
116,1,3,1,3,2,2,0
117,1,3,1,3,3,1,0
119,1,3,1,3,4,1,0
120,1,3,1,3,4,2,0
124,1,3,2,1,2,2,0
130,1,3,2,2,1,2,1
132,1,3,2,2,2,2,0
134,1,3,2,2,3,2,0
135,1,3,2,2,4,1,0
136,1,3,2,2,4,2,0
137,1,3,2,3,1,1,1
139,1,3,2,3,2,1,0
143,1,3,2,3,4,1,0
144,1,3,2,3,4,2,0
149,2,1,1,1,3,1,0
150,2,1,1,1,3,2,0
153,2,1,1,2,1,1,1
154,2,1,1,2,1,2,1
156,2,1,1,2,2,2,0
157,2,1,1,2,3,1,0
159,2,1,1,2,4,1,0
160,2,1,1,2,4,2,0
167,2,1,1,3,4,1,0
172,2,1,2,1,2,2,0
173,2,1,2,1,3,1,0
176,2,1,2,1,4,2,0
181,2,1,2,2,3,1,0
184,2,1,2,2,4,2,0
188,2,1,2,3,2,2,0
191,2,1,2,3,4,1,0
195,2,2,1,1,2,1,1
196,2,2,1,1,2,2,1
197,2,2,1,1,3,1,1
206,2,2,1,2,3,2,1
209,2,2,1,3,1,1,1
210,2,2,1,3,1,2,1
212,2,2,1,3,2,2,1
214,2,2,1,3,3,2,1
216,2,2,1,3,4,2,1
217,2,2,2,1,1,1,1
222,2,2,2,1,3,2,1
223,2,2,2,1,4,1,1
224,2,2,2,1,4,2,1
227,2,2,2,2,2,1,1
239,2,2,2,3,4,1,1
241,2,3,1,1,1,1,1
249,2,3,1,2,1,1,1
253,2,3,1,2,3,1,0
258,2,3,1,3,1,2,1
261,2,3,1,3,3,1,0
264,2,3,1,3,4,2,0
270,2,3,2,1,3,2,0
273,2,3,2,2,1,1,1
274,2,3,2,2,1,2,1
275,2,3,2,2,2,1,0
286,2,3,2,3,3,2,0
289,3,1,1,1,1,1,1
290,3,1,1,1,1,2,1
297,3,1,1,2,1,1,1
300,3,1,1,2,2,2,0
308,3,1,1,3,2,2,0
313,3,1,2,1,1,1,1
316,3,1,2,1,2,2,0
324,3,1,2,2,2,2,0
326,3,1,2,2,3,2,0
332,3,1,2,3,2,2,0
337,3,2,1,1,1,1,1
344,3,2,1,1,4,2,0
346,3,2,1,2,1,2,1
352,3,2,1,2,4,2,0
361,3,2,2,1,1,1,1
362,3,2,2,1,1,2,1
366,3,2,2,1,3,2,0
377,3,2,2,3,1,1,1
379,3,2,2,3,2,1,0
383,3,2,2,3,4,1,0
385,3,3,1,1,1,1,1
387,3,3,1,1,2,1,1
392,3,3,1,1,4,2,1
398,3,3,1,2,3,2,1
400,3,3,1,2,4,2,1
402,3,3,1,3,1,2,1
403,3,3,1,3,2,1,1
404,3,3,1,3,2,2,1
408,3,3,1,3,4,2,1
409,3,3,2,1,1,1,1
414,3,3,2,1,3,2,1
415,3,3,2,1,4,1,1
416,3,3,2,1,4,2,1
426,3,3,2,3,1,2,1
428,3,3,2,3,2,2,1
430,3,3,2,3,3,2,1
432,3,3,2,3,4,2,1
