id,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,class
0,248,7.05,2,428,1,279,2,633,11,240,0.72,36,64,393,78,316,79,379,14,178,96,0.93,717,132,47,88,108,193,40,21,1,0
1,274,7.09,1,411,0,291,0,549,10,245,0.76,37,61,402,71,318,89,380,13,203,85,0.88,829,159,55,82,115,192,45,17,2,0
2,218,6.66,2,424,1,312,1,576,11,261,0.75,40,51,453,63,322,84,333,15,203,96,0.9,536,142,55,89,113,195,42,24,1,0
3,233,6.95,1,398,1,285,1,545,12,222,0.7,37,65,476,74,333,84,335,15,199,101,0.93,764,148,44,94,125,199,39,25,0,0
4,250,7.91,2,377,1,271,0,605,11,239,0.69,40,59,428,75,302,85,399,13,201,89,1.03,446,133,53,79,120,192,40,22,3,0
5,225,7.78,2,362,1,259,1,648,11,249,0.78,39,72,430,71,309,80,371,15,202,92,0.95,1003,145,62,91,110,171,43,22,3,0
6,248,7.07,2,355,1,308,1,552,9,237,0.69,37,63,410,74,340,89,394,14,185,90,1,810,174,53,94,127,197,41,24,0,0
7,235,6.92,2,447,0,304,0,583,11,230,0.68,36,66,419,79,329,81,416,16,170,88,0.88,880,139,49,90,126,169,41,21,1,0
8,273,7.25,1,413,2,313,0,583,14,214,0.78,39,58,434,93,306,83,348,17,178,84,0.96,1003,132,56,87,109,194,43,21,2,0
9,232,7.14,2,429,0,343,0,596,11,235,0.71,37,61,422,66,335,81,391,15,209,91,0.87,586,156,53,87,119,206,40,23,2,0
10,235,7.5,2,411,2,286,1,590,11,226,0.76,38,59,481,70,303,90,389,16,207,87,0.86,720,141,55,86,111,182,43,21,0,0
11,244,7.19,2,380,1,246,0,573,12,236,0.85,39,62,435,70,328,83,379,14,205,96,0.94,786,156,48,88,118,188,40,22,3,0
12,267,7.45,3,373,1,290,2,570,11,216,0.61,36,59,438,74,367,89,361,14,205,79,1.13,945,143,41,85,117,206,37,21,2,0
13,240,6.92,2,365,1,288,1,630,11,197,0.84,38,59,469,73,353,84,414,17,195,93,1.02,986,137,53,93,102,169,36,17,3,0
14,268,7.14,3,358,0,284,1,601,10,227,0.66,38,65,414,71,306,84,392,14,205,84,0.87,681,137,47,80,136,188,40,22,2,0
