id,Recency,Frequency,Monetary,Time,class
1,0,13,3250,28,1
67,0,2,500,4,0
504,0,26,6500,76,1
11,0,3,750,4,0
106,0,8,2000,59,0
181,10,4,1000,16,0
643,10,5,1250,38,0
233,10,8,2000,39,0
523,1,10,2500,43,1
175,11,10,2500,35,0
591,11,11,2750,38,0
193,11,11,2750,42,0
246,11,12,3000,58,0
338,11,1,250,11,2
261,11,14,3500,73,1
635,11,16,4000,89,0
243,11,17,4250,79,1
241,11,22,5500,98,0
7,1,12,3000,35,0
115,11,24,6000,64,0
248,11,2,500,11,0
285,11,2,500,14,0
311,11,2,500,16,0
316,11,2,500,17,0
351,11,2,500,21,0
361,11,2,500,24,0
682,11,2,500,25,0
368,11,2,500,26,0
708,11,2,500,38,1
442,11,2,500,52,0
469,11,2,500,70,0
13,1,13,3250,47,0
209,11,3,750,14,0
236,11,3,750,15,0
253,11,3,750,16,1
307,11,3,750,23,0
658,11,3,750,26,0
336,11,3,750,28,0
683,11,3,750,37,0
375,11,3,750,40,1
441,11,3,750,76,0
176,11,4,1000,16,1
638,11,4,1000,27,0
292,11,4,1000,28,0
322,11,4,1000,34,0
390,11,4,1000,58,0
391,11,4,1000,59,0
393,11,4,1000,61,0
707,11,4,1000,74,0
30,1,14,3500,58,0
544,1,14,3500,95,0
578,11,5,1250,18,0
284,11,5,1250,33,0
293,11,5,1250,35,0
305,11,5,1250,37,1
310,11,5,1250,38,0
319,11,5,1250,41,0
352,11,5,1250,50,0
205,11,6,1500,26,0
208,11,6,1500,27,0
623,11,6,1500,28,0
642,11,6,1500,41,0
342,11,6,1500,58,0
364,11,6,1500,71,0
2,1,16,4000,35,1
198,11,7,1750,29,0
257,11,7,1750,37,0
333,11,7,1750,62,1
337,11,7,1750,64,0
678,11,7,1750,75,0
252,11,8,2000,41,1
267,11,8,2000,46,0
279,11,8,2000,48,0
640,11,8,2000,52,1
663,11,8,2000,72,0
185,11,9,2250,33,0
204,11,9,2250,38,0
318,11,9,2250,72,1
94,12,11,2750,23,0
599,12,11,2750,39,0
259,12,12,3000,58,0
254,12,13,3250,59,0
633,12,15,3750,71,0
4,1,24,6000,77,0
312,12,9,2250,60,0
624,13,3,750,14,1
634,13,3,750,16,0
269,13,4,1000,21,0
686,13,7,1750,76,0
184,13,8,2000,26,0
377,14,1,250,14,0
276,14,13,3250,57,0
280,14,16,4000,70,0
327,14,16,4000,98,0
278,14,18,4500,78,0
297,14,2,500,14,2
325,14,2,500,16,0
365,14,2,500,21,1
706,14,2,500,29,0
434,14,2,500,35,2
289,14,3,750,19,1
654,14,3,750,21,0
357,14,3,750,26,0
679,14,3,750,28,0
371,14,3,750,31,0
688,14,3,750,33,0
696,14,3,750,35,0
405,14,3,750,41,0
437,14,3,750,52,0
731,14,3,750,79,0
473,14,3,750,83,0
281,14,4,1000,22,1
290,14,4,1000,23,1
317,14,4,1000,26,0
328,14,4,1000,28,1
340,14,4,1000,30,0
367,14,4,1000,38,0
374,14,4,1000,40,0
424,14,4,1000,57,0
433,14,4,1000,64,0
558,14,5,1250,14,0
282,14,5,1250,26,0
288,14,5,1250,28,2
376,14,5,1250,50,0
404,14,5,1250,64,0
427,14,5,1250,74,0
304,14,6,1500,34,0
360,14,6,1500,51,0
234,14,7,1750,26,0
637,14,7,1750,35,0
659,14,7,1750,45,0
