instance,depth,alpha,seed,train_acc,val_acc,test_acc,train_time,gap
balance-scale,2,0.0,37,0.7051282051282052,0.6538461538461539,0.6624203821656051,0.9695930480957032,0.0
balance-scale,2,0.01,37,0.7051282051282052,0.6538461538461539,0.6624203821656051,1.0756912231445312,0.0
balance-scale,2,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,0.7037301063537598,0.0
balance-scale,2,0.0,42,0.7019230769230769,0.6666666666666666,0.6560509554140127,0.9490602016448976,0.0
balance-scale,2,0.01,42,0.7019230769230769,0.6666666666666666,0.6560509554140127,1.2019321918487549,0.0
balance-scale,2,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,0.6537525653839111,0.0
balance-scale,2,0.0,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,0.7450323104858398,0.0
balance-scale,2,0.01,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,0.7917585372924805,0.0
balance-scale,2,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,0.8637549877166748,0.0
balance-scale,3,0.0,37,0.7660256410256411,0.6923076923076923,0.7070063694267515,104.74090647697447,0.0
balance-scale,3,0.01,37,0.7660256410256411,0.6923076923076923,0.7070063694267515,86.83370018005371,0.0
balance-scale,3,0.1,37,0.6987179487179487,0.6666666666666666,0.6624203821656051,10.66061305999756,0.0
balance-scale,3,0.0,42,0.7628205128205128,0.6987179487179487,0.6687898089171974,71.94075679779053,0.0
balance-scale,3,0.01,42,0.7596153846153846,0.7051282051282052,0.6815286624203821,66.93521022796631,0.0
balance-scale,3,0.1,42,0.6955128205128205,0.6602564102564102,0.6751592356687898,14.51825499534607,0.0
balance-scale,3,0.0,53,0.7660256410256411,0.6474358974358975,0.7261146496815286,97.49308896064758,0.0
balance-scale,3,0.01,53,0.7628205128205128,0.6602564102564102,0.7070063694267515,49.69609808921814,0.0
balance-scale,3,0.1,53,0.7051282051282052,0.6410256410256411,0.6751592356687898,5.136227607727051,0.0
